File	Sheet	Skip.Rows	Date	Chemical.ID	ISTD.Name	Sample.ColName	Type.ColName	Peak.ColName	ISTD.Peak.ColName	Conc.ColName	AnalysisParam.ColName	Num.Rows	Note.ColName
Hep13-Hep14-to-JFW_PFAS_REV.xlsx	Hep14-Raw-for JFW	19	042822	8H-Perfluorooctanoic acid	M8PFOA	Name	Sample Text	Area	IS Area	Std. Conc	RT	192	Verified
Hep13-Hep14-to-JFW_PFAS_REV.xlsx	Hep14-Raw-for JFW	607	042822	Pentadecafluorooctanoyl chloride	M8PFOA	Name	Sample Text	Area	IS Area	Std. Conc	RT	192	Verified
Hep13-Hep14-to-JFW_PFAS_REV.xlsx	Hep14-Raw-for JFW	215	042822	Perfluoroheptanoyl chloride	M4PFHpA	Name	Sample Text	Area	IS Area	Std. Conc	RT	192	Verified
Hep13-Hep14-to-JFW_PFAS_REV.xlsx	Hep14-Raw-for JFW	803	0428822	Perfluoro-3,6,9-trioxadecanoic acid (PFPE-4)	M8PFOA	Name	Sample Text	Area	IS Area	Std. Conc	RT	192	Verified
20231106_HepCl_ReRun_KR.xlsx	Raw Data	777	111323	9-H-Perfluorononanoic acid (9H-PFNA)	M9PFNA	Name	Type	Area	IS Area	Std. Conc	RT	253	Sample Text
20231106_HepCl_ReRun_KR.xlsx	Raw Data	1805	111323	11-H-Perfluoroundecanoic acid (11H-PFUnDA)	M7PFUdA	Name	Type	Area	IS Area	Std. Conc	RT	253	Sample Text
20231106_HepCl_ReRun_KR.xlsx	Raw Data	263	111323	6:2 Fluorotelomer sulfonic acid (6:2 FTS)	M2-6:2 FTS	Name	Type	Area	IS Area	Std. Conc	RT	253	Sample Text
20231106_HepCl_ReRun_KR.xlsx	Raw Data	1291	111323	8:2 Fluorotelomer sulfonic acid (8:2 FTS)	M2-8:2 FTS	Name	Type	Area	IS Area	Std. Conc	RT	253	Sample Text
20220203_Hep12_SPEcassette_MGS-DataSummary.xlsx	PFAS Raw Data	6	020322	4,4-bis(Trifluoromethyl)-4-fluoropropanoic acid	M5PFPeA	Name	Type	Area	IS Area	Std. Conc	RT	165	Sample Text
20231106_HepCl_ReRun_KR.xlsx	Raw Data	6	111323	6:3 Fluorotelomer carboxylic acid (6:3 FTCA)	M2-6:2 FTS	Name	Type	Area	IS Area	Std. Conc	RT	253	Sample Text
20231106_HepCl_ReRun_KR.xlsx	Raw Data	2062	111323	Perfluoroundecanoic acid (PFUnDA)	M7PFUdA	Name	Type	Area	IS Area	Std. Conc	RT	253	Sample Text
20220203_Hep12_SPEcassette_MGS-DataSummary.xlsx	PFAS Raw Data	1020	020322	Perfluoro-3,6-dioxadecanoic acid (PFPE-5)	M6PFDA	Name	Type	Area	IS Area	Std. Conc	RT	165	Sample Text
PFAS9_Long.XLS	2H,2H,3H,3H-Perfluorooctanoళ_1	4	092220	2H,2H,3H,3H-Perfluorooctanoic acid (5:3 FTCA)	None	Filename	Sample Type	Area	ISTD Area	Exp Amt	RT	NA	Peak Status
PFAS4_Long.XLS	Potassium_perfluorooctanoate	4	092020	Potassium perfluorooctanoate (KPFOA)	None	Filename	Sample Type	Area	ISTD Area	Exp Amt	RT	NA	Peak Status
PFAS5_Long.XLS	N-Ethylperfluorooctanesulfoৼ_1	4	092020	N-Methylperfluorooctanesulfonamide (NMeFOSA)	None	Filename	Sample Type	Area	ISTD Area	Exp Amt	RT	NA	Peak Status
PFAS6_Long.XLS	Perfluoroheptanoic_acid	4	092120	Perfluoroheptanoic acid (PFHpA)	None	Filename	Sample Type	Area	ISTD Area	Exp Amt	RT	NA	Peak Status
PFAS7_Long.XLS	N-Methylperfluorooctanesulfৼ_1	4	092120	N-Methylperfluorooctanesulfonamide (NMeFOSA)	None	Filename	Sample Type	Area	ISTD Area	Exp Amt	RT	NA	Peak Status
PFAS8_Long.XLS	2-(Perfluorohexyl)ethylphosৈ_1	4	092220	2-(Perfluorohexyl)ethylphosphonic acid	None	Filename	Sample Type	Area	ISTD Area	Exp Amt	RT	NA	Peak Status
PFAS10_Long.XLS	3,3-Bis(trifluoromethyl)-2-ਯ_1	4	092320	3,3-Bis(trifluoromethyl)-2-propenoic acid	None	Filename	Sample Type	Area	ISTD Area	Exp Amt	RT	NA	Peak Status
PFAS11_Long.XLS	Perfluorodecanoic_acid	4	092320	Perfluorodecanoic acid (PFDA)	None	Filename	Sample Type	Area	ISTD Area	Exp Amt	RT	NA	Peak Status
PFAS12_Long.XLS	Perfluorohexanoic_acid	4	092420	Perfluorohexanoic acid (PFHxA)	None	Filename	Sample Type	Area	ISTD Area	Exp Amt	RT	NA	Peak Status
PFAS13_Long.XLS	Perfluorooctanesulfonic_acid	4	092420	Perfluorooctanesulfonic acid (PFOS)	None	Filename	Sample Type	Area	ISTD Area	Exp Amt	RT	NA	Peak Status
