Compound.Name	DTXSID	Lab.Compound.Name	Calibration	Fup
1,6-Dibromododecafluorohexane	DTXSID20335129	30503	All Data	0
1H,1H,5H-Perfluoropentyl methacrylate	DTXSID90880131	30507	All Data	0.249
Perfluoro-1,4-diiodobutane	DTXSID30190948	30516	All Data	0.00533
1,6-Diiodoperfluorohexane	DTXSID90190949	30501	All Data	0.267
1,6-Diiodoperfluorohexane	DTXSID90190949	30501	2021-10-06	0.0254
1,6-Diiodoperfluorohexane	DTXSID90190949	275	2021-11-16	0.246
1H,1H-Perfluoroheptylamine	DTXSID10379835	30505	All Data	0.121
1H,1H-Perfluorooctylamine	DTXSID50184723	30521	All Data	0.261
1H,1H-Perfluorooctylamine	DTXSID50184723	30521	2021-10-06	0.0793
1H,1H-Perfluorooctylamine	DTXSID50184723	268	2021-11-16	0.234
1H,1H-Perfluorononylamine	DTXSID50379930	30510	All Data	0.0359
4-nitrotoluene	DTXSID5023792	4NT	All Data	0.0612
4-nitrotoluene	DTXSID5023792	4NT	2021-10-06	0.0649
4-nitrotoluene	DTXSID5023792	4NT	2021-11-16	0.0863
4-nitrotoluene	DTXSID5023792	4NT	2021-07-16	0.0479
4-nitrotoluene	DTXSID5023792	4NT	2021-04-20	0.0555
4-nitrotoluene	DTXSID5023792	4NT	2020-09-23	0.0681
4-nitrotoluene	DTXSID5023792	4NT	2021-09-13	0.0729
4-nitrotoluene	DTXSID5023792	4NT	2020-02-05	0.0599
1-Iodopentadecafluoroheptane	DTXSID5059828	513	All Data	0.887
(Perfluorobutyryl)-2-thenoylmethane	DTXSID7060332	812	All Data	0.00288
1-Iodo-1H,1H,2H,2H-perfluorononane	DTXSID90880156	474	All Data	0.0419
(Perfluoro-5-methylhexyl)ethyl 2-methylprop-2-enoate	DTXSID60379901	760	All Data	0.0201
((2,2,3,3-Tetrafluoropropoxy)methyl)oxirane	DTXSID70880230	3096	All Data	0.289
1H,1H,7H-Perfluoroheptyl 4-methylbenzenesulfonate	DTXSID30340244	477	All Data	0.0275
1H,1H,7H-Perfluoroheptyl 4-methylbenzenesulfonate	DTXSID30340244	477	070321	0.0296
1H,1H,7H-Perfluoroheptyl 4-methylbenzenesulfonate	DTXSID30340244	477	2021-04-20	0.027
tris(Trifluoroethoxy)methane	DTXSID30395037	964	All Data	0.0994
1H,1H,11H,11H-Perfluorotetraethylene glycol	DTXSID00380798	464	All Data	0.0127
1H,1H,8H,8H-Perfluorooctane-1,8-diol	DTXSID30396867	479	All Data	0.0506
Bis(1H,1H-perfluoropropyl)amine	DTXSID50381992	959	All Data	0.0216
1H,1H,8H,8H-Perfluoro-3,6-dioxaoctane-1,8-diol	DTXSID70381090	949	All Data	0.207
4:2 Fluorotelomer alcohol	DTXSID1062122	4:2 FTOH aka 971	All Data	0.231
6:1 Fluorotelomer alcohol	DTXSID00190950	6:1 FTOH aka 3135	All Data	0.0386
6:2 Fluorotelomer alcohol	DTXSID5044572	6:2 FTOH aka 941	All Data	0.152
4:4 Fluorotelomer alcohol	DTXSID60377821	4:4 FTOH aka 902	All Data	0.0704
8:2 Fluorotelomer alcohol	DTXSID7029904	8:2 FTOH aka 956	All Data	0.0243
Methyl perfluoro(3-(1-ethenyloxypropan-2-yloxy)propanoate)	DTXSID50382621	7:3 FTOH aka 3145	All Data	0.0235
11:1 Fluorotelomer alcohol	DTXSID80375107	11:1 FTOH aka 969	All Data	0.0621
6:2 Fluorotelomer methacrylate	DTXSID3047558	940	All Data	0.0856
1H,1H-Perfluorobutyl methacrylate	DTXSID3065586	3203	All Data	0.706
1H,1H,9H-Perfluorononyl acrylate	DTXSID00194615	3142	All Data	0.315
2,2,3,3-Tetrafluoropropyl acrylate	DTXSID10224331	471	All Data	0.234
2-(Perfluorobutyl)ethyl acrylate	DTXSID1068772	478	All Data	0.078
1H,1H,5H,5H-Perfluoro-1,5-pentanediol diacrylate	DTXSID5060986	468	All Data	0.177
1H,1H-Perfluorooctyl methacrylate	DTXSID5063235	276	All Data	0.0665
8:2 Fluorotelomer methacrylate	DTXSID8062101	467	All Data	0.0503
Heptafluorobutyramide	DTXSID2060965	908	All Data	0.601
Nonafluoropentanamide	DTXSID60400587	909	All Data	0.199
Perfluoropentanamide	DTXSID70366226	916	All Data	0.516
Perfluoropentanamide	DTXSID70366226	916	102919	0.595
Perfluoropentanamide	DTXSID70366226	916	110119	0.601
Perfluoropentanamide	DTXSID70366226	916	121019	0.437
Octafluoroadipamide	DTXSID80310730	923	All Data	0.834
Octafluoroadipamide	DTXSID80310730	923	102919	0.699
Octafluoroadipamide	DTXSID80310730	923	110119	0.949
Octafluoroadipamide	DTXSID80310730	923	121019	0.861
Perfluorooctanamide	DTXSID60195123	3117	All Data	0.0263
Perfluorooctanamide	DTXSID60195123	3117	102919	0.0258
Perfluorooctanamide	DTXSID60195123	3117	121019	0.0262
Heptafluorobutanol	DTXSID4059914	915	All Data	0.497
3-(Perfluoropropyl)propanol	DTXSID60379269	965	All Data	0.205
N-Methyl-N-trimethylsilylheptafluorobutyramide	DTXSID40379666	476	All Data	0.545
3-(Perfluorooctyl)propanol	DTXSID10379991	267	All Data	0.0352
Perfluorooctanamidine	DTXSID70381151	3125	All Data	0.0261
Dodecafluoroheptanol	DTXSID9059832	906	All Data	0.0549
Pentafluoropropionamide	DTXSID0059871	273	All Data	0.789
3-(Perfluoro-2-butyl)propane-1,2-diol	DTXSID10382147	913	All Data	0.369
2-Aminohexafluoropropan-2-ol	DTXSID80382093	899	All Data	0.963
1H,1H,5H-Perfluoropentanol	DTXSID0059879	900	All Data	0.355
